,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
DAR,5.34069,8.49391,15.66673,1.33261,1.86,9.5415,-4.51621,411.897,12.24461,210.0,1.92,774.82,-0.87554,207.99243,9.29277,9.39668,0.70125,1.05508,1.2806,12.92038,12.89239,40.2228,4.3182,67.28787
DECK,24.28464,12.53738,5.97743,4.37246,1.47333,13.08172,30.49034,371.934,18.40859,146.92737,1.48167,1040.25,13.31349,131.05058,13.08172,13.04215,3.07609,15.18589,19.94351,26.61834,26.61834,2.92616,0.0847,3.01436
DE,7.56157,1.04845,36.44696,2.02948,10.15,8.2964,15.68911,7511.0,19.13241,40.19337,9.97,9178.0,-4.06777,37.35011,8.28621,8.03787,1.78818,4.79671,6.22245,28.65978,28.65035,79.86259,6.03568,741.0931
DK,54.08243,14.22831,22.68001,1.25782,3.99,3.55983,-13.20968,692.5,7.44768,-3.62319,4.17,1060.8,0.03697,-8.67392,3.34043,3.40181,0.81222,4.8574,8.06038,18.51526,18.16984,55.32702,3.28231,123.84896
DELL,11.08241,5.68781,-8.01808,0.80357,-3.22,-2.40673,46.3898,8495.0,9.37421,1608.1268,-2.31,25266.0,6.71602,1608.1268,-2.54908,-1.83135,0.59964,0.39993,0.77365,-129.73885,-27.9168,99.52766,6.30029,1608.1268
DAL,23.33621,18.19156,23.89342,0.40829,7.3,10.14104,21.15106,9199.0,19.56943,28.7478,7.32,13186.0,4.54214,21.14358,10.14104,10.13747,0.2944,6.62871,13.16711,32.82493,32.82493,52.90835,1.87575,112.35187
DLX,-3.96877,10.03026,13.55128,1.15753,-4.65,-9.95149,-10.29144,443.503,22.07894,85.22307,4.85,1199.342,13.71243,85.22307,-9.95149,10.38926,0.67004,9.34077,11.92366,-26.89908,-26.89908,61.964,2.0969,162.90883
DBI,195.44604,83.70768,10.61638,2.0624,-0.26,-0.64283,-4.97511,259.398,8.14759,70.41118,1.35,938.689,1.83612,70.41118,-0.64283,3.39334,0.51636,7.42989,11.60415,-2.29603,-2.29603,16.12291,0.61681,19.22206
DVN,-4.9884,7.40036,15.18848,1.99844,-0.21,-1.2701,-48.68381,1696.0,27.26688,202.75342,-0.05,2665.0,-14.60611,202.75342,-5.7074,-0.32235,1.19149,0.60091,0.78101,-1.08087,-1.04594,43.48449,2.68573,76.94257
DRH,0.0,34.98971,9.55252,1.90105,0.9,19.61177,-4.97368,120.233,12.80044,109.30233,0.23,247.326,17.97857,109.02101,19.53469,4.94655,1.90105,2.26479,2.50704,9.66895,9.66567,38.32443,9.92842,62.13876
DBD,-15.99295,6.50011,-6.90378,1.1828,-4.45,-7.81636,105.91751,344.5,7.8141,86.18814,-3.12,1076.8,5.96349,86.18814,-7.74151,-5.428,0.56902,2.16291,4.34045,86.18814,86.18814,126.56378,6.71321,86.18814
DLR,0.0,113.60671,40.42533,0.43733,2.35,18.25053,0.0,0.0,0.0,94.21488,2.26,2024.547,38.91276,75.0243,17.65783,14.33971,0.43733,1.78361,1.90576,6.79913,5.56804,50.79586,113.60671,103.63847
